Year	Month	Number of Flight
2006	Jan	581287
2006	Feb	531247
2006	Mar	605217
2006	Apr	585351
2006	May	602919
2006	Jun	598315
2006	Jul	621244
2006	Aug	628732
2006	Sep	584937
2006	Oct	611718
2006	Nov	586197
2006	Dec	604758
2007	Jan	621559
2007	Feb	565604
2007	Mar	639209
2007	Apr	614648
2007	May	631609
2007	Jun	629280
2007	Jul	648560
2007	Aug	653279
2007	Sep	600187
2007	Oct	629992
2007	Nov	605149
2007	Dec	614139
2008	Jan	605765
2008	Feb	569236
2008	Mar	616090
2008	Apr	598126
2008	May	606293
2008	Jun	608665
2008	Jul	627931
2008	Aug	612279
2008	Sep	540908
2008	Oct	556205
2008	Nov	523272
2008	Dec	544958
